Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Gloria Osteria Milano","ristoranti","Milano","","+39 344 073 9345","https://gloria-osteria.com/it/gloria-osteria-milano%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website","4.8","10228"
"Cantine MILANO - WINE & RESTAURANT","ristoranti","Milano","reservation@cantinemilano.it","+39 02 6680 2819","http://www.cantinemilano.com","4.6","1672"
"L'immagine Bistrot Ristorante","ristoranti","Milano","limmaginebistrot@gmail.com","+39 02 3926 4564","http://www.limmaginebistrot.com","4.8","3018"
"Milano Bistrot","ristoranti","Milano","info@milanobistrot.it","+39 02 4953 2817","https://www.milanobistrot.it","4.6","379"
"Osteria De Milan","ristoranti","Milano","","+39 339 487 3343","https://www.osteriademilan.it/menu","4.6","496"
"Ristorante Dal Re","ristoranti","Milano","","+39 02 6717 2647","http://www.ristorantedalremilano.com","4.8","525"
"Via Pasteria","ristoranti","Milano","info@viapasteria.com","+39 02 8905 3384","http://www.viapasteria.com","4.7","7291"
"La Piada Di Una Volta","ristoranti","Milano","","+39 02 8977 3146","","4.8","133"
"Primè","ristoranti","Milano","prime@ristoranteprime.it","+39 02 6556 0923","http://www.ristoranteprime.it","4.4","1351"
"Via Pasteria - Daniele Crespi","ristoranti","Milano","info@viapasteria.com","+39 02 8281 6983","https://viapasteria.com","4.8","6181"
"Osteria italiana","ristoranti","Milano","info@osteriaitaliana.eu","+39 02 670 4188","http://www.osteriaitaliana.eu","4.1","4166"
"Nerino Dieci Trattoria","ristoranti","Milano","info@nerinodieci.it","+39 02 3983 1019","http://www.nerinodieci.it","4.6","2887"
"Trattoria de la Trebia Milano","ristoranti","Milano","info@trattorialatrebia.it","+39 02 551 3380","http://www.trattorialatrebia.it","4.6","2024"
"28 Posti","ristoranti","Milano","28posti@gmail.com","+39 02 839 2377","http://28posti.org","4.6","593"
"Ristorante San Carlo","ristoranti","Milano","info@sancarloaldue.com","+39 02 3792 0389","https://sancarloaldue.com","4.5","459"
"Via Pasteria - Arco Delle Pace","ristoranti","Milano","info@viapasteria.com","+39 02 8928 0275","https://www.viapasteria.com","4.8","6049"
"Il Marchese Milano","ristoranti","Milano","prenotazionicourmayeur@ilmarchese.it","+39 02 5812 4986","https://ilmarchese.it","4.3","923"
"Eataly","ristoranti","Milano","","+39 800 975 880","https://www.eataly.net/it_it/negozi/milano-smeraldo%3Futm_source%3Dgmb%26utm_medium%3Dlisting%26utm_campaign%3Dorganic-search","4.2","14597"
"Ristorante Bosco Verticale","ristoranti","Milano","","+39 02 688 0836","","4.7","1211"
"Viaggi nel Gusto","ristoranti","Milano","info@viagginelgusto.com","+39 02 4775 5531","https://www.viagginelgusto.it","4.6","827"
"Beef Club Milano - Miglior Ristorante di Carne alla Brace della città","ristoranti","Milano","info@beefclubmilano.it","+39 02 5182 3951","http://www.beefclubmilano.it","4.7","1104"
"Maccheroni - La Carbonara N°1 di Milano","ristoranti","Milano","","+39 02 3831 3245","https://maccheronirestaurants.com","4.6","3057"
"Shabby Grill","ristoranti","Milano","shabbygrill@outlook.it","+39 02 2317 7599","https://www.shabbygrill.it","4.8","776"
