Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Gloria Osteria Milano","ristoranti","Milano","","+39 344 073 9345","https://gloria-osteria.com/it/gloria-osteria-milano%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website","4.8","10219"
"Ristorante Galleria","ristoranti","Milano","info@ristorantegalleria.it","+39 02 8646 4912","https://ristorantegalleria.it","4.5","6211"
"L'Isola del Tesoro","ristoranti","Milano","info@isoladeltesoro.net","+39 02 5830 7003","http://www.ristoranteisoladeltesoro.it","4.4","2661"
"Via Pasteria - Daniele Crespi","ristoranti","Milano","info@viapasteria.com","+39 02 8281 6983","https://viapasteria.com","4.8","6172"
"Via Pasteria - Arco Delle Pace","ristoranti","Milano","info@viapasteria.com","+39 02 8928 0275","https://www.viapasteria.com","4.8","6040"
"Via Pasteria","ristoranti","Milano","info@viapasteria.com","+39 02 8905 3384","http://www.viapasteria.com","4.7","7283"
"Osteria italiana","ristoranti","Milano","info@osteriaitaliana.eu","+39 02 670 4188","http://www.osteriaitaliana.eu","4.1","4165"
"Trattoria la vecchia guardia","ristoranti","Milano","","+39 02 3663 1188","https://www.lavecchiaguardia.it","4.5","1280"
"The Roof Milano","ristoranti","Milano","info@theroofmilano.com","","https://www.theroofmilano.com","4.2","2361"
"Cantina della Vetra","ristoranti","Milano","bistrot@cantinadellavetra.it","+39 02 8940 3843","http://www.cantinadellavetra.it","4.2","1650"
"Le Striatelle di nonna Mafalda","ristoranti","Milano","","+39 02 3981 1590","http://lestriatelle.it","4.5","2260"
"Eataly","ristoranti","Milano","","+39 800 975 880","https://www.eataly.net/it_it/negozi/milano-smeraldo%3Futm_source%3Dgmb%26utm_medium%3Dlisting%26utm_campaign%3Dorganic-search","4.2","14593"
"Trattoria de la Trebia Milano","ristoranti","Milano","info@trattorialatrebia.it","+39 02 551 3380","http://www.trattorialatrebia.it","4.6","2024"
"L'immagine Bistrot Ristorante","ristoranti","Milano","limmaginebistrot@gmail.com","+39 02 3926 4564","http://www.limmaginebistrot.com","4.8","3018"
"Osteria De Milan","ristoranti","Milano","","+39 339 487 3343","https://www.osteriademilan.it/menu","4.6","495"
"Antico Ristorante Boeucc Milano- dal 1696","ristoranti","Milano","","+39 02 7602 0224","https://www.boeucc.it","4.4","1064"
"Viaggi nel Gusto","ristoranti","Milano","info@viagginelgusto.com","+39 02 4775 5531","https://www.viagginelgusto.it","4.6","826"
"Osteria da Fortunata - Moscova Milano","ristoranti","Milano","","+39 02 5003 3307","https://it-it.facebook.com/osteriadafortunata","4.4","3501"
"Trippa","ristoranti","Milano","info@trippamilano.it","+39 327 668 7908","http://www.trippamilano.it","4.7","1706"
"Il Marchese Milano","ristoranti","Milano","prenotazionicourmayeur@ilmarchese.it","+39 02 5812 4986","https://ilmarchese.it","4.3","923"
"Deros Ristorante","ristoranti","Milano","","+39 02 3651 7680","https://www.derosmilano.it","4.7","993"
"Ribot","ristoranti","Milano","mailto:info@ribotmilano.it","+39 02 3300 1646","http://www.ribotmilano.it","4.6","5023"
"Levino","ristoranti","Milano","levinomilano@gmail.com","+39 02 4944 8281","http://www.levinomilano.it","4.8","369"
"Maccheroni - La Carbonara N°1 di Milano","ristoranti","Milano","","+39 02 3831 3245","https://maccheronirestaurants.com","4.6","3053"
"Beef Club Milano - Miglior Ristorante di Carne alla Brace della città","ristoranti","Milano","info@beefclubmilano.it","+39 02 5182 3951","http://www.beefclubmilano.it","4.7","1104"
"Primè","ristoranti","Milano","prime@ristoranteprime.it","+39 02 6556 0923","http://www.ristoranteprime.it","4.4","1351"
"Marea Seafood & Beverage","ristoranti","Milano","info@mareamilano.it","+39 02 8457 0315","http://www.mareamilano.it","4.8","476"
"Acanto","ristoranti","Milano","","+39 02 6230 2026","https://www.dorchestercollection.com/milan/hotel-principe-di-savoia/dining/acanto-restaurant%3Futm_source%3Dgoogle%26utm_medium%3Dhps_local_profile%26utm_campaign%3Dacanto%26utm_content%3Dmilan_dining","4.6","433"
"Ristorante Assunta Madre","ristoranti","Milano","booking.roma@ristoranteassuntamadre.it","+39 06 6880 6972","https://www.ristoranteassuntamadre.it","4.2","743"
"Ristorante di Pesce Milano Buon prezzo - Settembrini 18","ristoranti","Milano","","+39 02 2951 9494","http://www.ristorantesettembrini18.it","4.6","2333"
"28 Posti","ristoranti","Milano","28posti@gmail.com","+39 02 839 2377","http://28posti.org","4.6","593"
"Ristorante Da Oscar (Porta Venezia)","ristoranti","Milano","info@ristorantedaoscar.it","+39 02 2951 8806","https://www.ristorantedaoscar.it","4.3","3536"
"Salsamenteria di Parma","ristoranti","Milano","","+39 02 7628 1350","https://www.salsamenteriadiparma.com/ristoranti/milano-san-babila/%3Futm_source%3DGBP%2B%26utm_medium%3Dinfo%2Bsanbabila%26utm_campaign%3Dsite","4.3","3158"
"Un posto a Milano","ristoranti","Milano","info@unpostoamilano.it","+39 02 545 7785","http://www.unpostoamilano.it","4","1689"
"La Gioia San Marco","ristoranti","Milano","lagioia@lagioiasanmarco.it","+39 388 883 9951","http://www.lagioiasanmarco.com","4.6","3183"
"Veramente","ristoranti","Milano","milano@ristoranteveramente.it","+39 02 8568 7716","https://ristoranteveramente.it","4.8","1928"
"Shabby Grill","ristoranti","Milano","shabbygrill@outlook.it","+39 02 2317 7599","https://www.shabbygrill.it","4.8","775"
"Ristorante Nabucco","ristoranti","Milano","info@nabucco.it","+39 02 860663","http://www.nabucco.it","4.2","1975"
"CANTINE A MARE - Ristorante di Pesce","ristoranti","Milano","","+39 02 8969 6018","https://cantinemilano.com/%3Fsite_source_name%3Dgmbctam","4.8","395"
"Pasta d’Autore","ristoranti","Milano","info@pastadautoremilano.it","+39 02 3595 3304","https://pastadautoremilano.it","4.5","4188"
"Da Noi In","ristoranti","Milano","info@magnapars.it","+39 02 837 8111","https://www.magnapars.it/ristorante","4.4","99"
"Donna Caterina Ristorante","ristoranti","Milano","donnacaterinaristorante@gmail.com","+39 02 7219 2549","https://www.donnacaterina.info","4.6","347"
"Ristorante Vista Duomo","ristoranti","Milano","info@ristorantevistaduomo.it","+39 02 0996 2671","https://ristorantevistaduomo.it","4.1","915"
"Alto Ristorante","ristoranti","Milano","info@altoristorante.it","+39 02 7600 0946","http://www.altoristorante.it","4.6","409"
"Ristorante Il Faro","ristoranti","Milano","","+39 02 5810 4107","http://www.ilfarodimilano.it","4.6","887"
"Ristorante Qui Si Mangia","ristoranti","Milano","","+39 02 2318 6584","http://quisimangiamilano.it","4.4","1017"
"Al Cantinone","ristoranti","Milano","info@alcantinone.it","+39 02 863015","http://www.alcantinone.it","4.1","3843"
"Il Giardino Bar & Restaurant","ristoranti","Milano","info@gruppouna.it","+39 338 666 6932","https://www.unaitalianhospitality.com/it/ristoranti/il-giardino-restaurant%3Fcmp%3Dgmb_il_giardino_restaurant_link","4.7","80"
"Nero 9","ristoranti","Milano","","+39 02 9167 2324","http://www.nero9milano.com","4.6","1082"
"Restaurante","ristoranti","Milano","","","","4.5","11"
"Trattoria Mibabbo","ristoranti","Milano","info@mibabbo.it","+39 02 4548 8997","http://www.mibabbo.it","4.5","1715"
"Pasto - Laboratorio di pasta con cucina","ristoranti","Milano","","+39 389 035 6309","https://www.facebook.com/pastomilano","4.7","2465"
"Ristorante Al Mercante","ristoranti","Milano","","+39 02 805 2198","https://ristorantealmercante.it/it","4.2","784"
"SlowSud Duomo","ristoranti","Milano","","+39 02 7200 2595","https://slow-sud.it","4.3","3293"
"Da Giacomo Arengario","ristoranti","Milano","","+39 02 7209 3814","https://giacomomilano.com/location/arengario","4.1","1750"
"Valentino Legend","ristoranti","Milano","valentinolegend@hotmail.com","+39 328 845 2785","http://www.valentinolegend.it","4.4","1381"
"OSTERIA DA FORTUNATA MILANO NAVIGLI","ristoranti","Milano","gruppodafortunata@gmail.com","+39 02 4547 2283","https://www.osteriadafortunata.it","4.4","1127"
"Isola Ristorante Milano","ristoranti","Milano","","+39 349 875 7718","https://www.isolarestaurant.com/milan/%3Fl%3Dit","4.1","72"
"Ristorante Pane e Vino Milano","ristoranti","Milano","info@panevinomilano.com","+39 02 8645 1984","https://www.panevinomilano.com/%3Futm_source%3DMyBusiness%26utm_medium%3DSitoScheda","4.1","1492"
"La Corte di San Maurilio","ristoranti","Milano","","+39 02 7209 5221","","4.3","1497"
"Il Tavolino","ristoranti","Milano","info@ristoranteiltavolino.it","+39 02 670 3520","https://www.ristoranteiltavolino.it","4.1","3657"
"La Locanda del Gatto Rosso","ristoranti","Milano","info@lalocandadelgattorosso.it","+39 02 7202 2411","http://www.lalocandadelgattorosso.it","4","3113"
"Ristorante Marino 1939","ristoranti","Milano","","+39 02 8646 4015","https://www.ristorantemarinomilano.it","4.6","1648"
"Sugo Milano - Duomo","ristoranti","Milano","","+39 342 012 8808","https://prenotazioni.taac-app.com/sugo","4.6","1040"
"The Dome | Rooftop & Restaurant","ristoranti","Milano","info@thedomemilano.com","+39 345 150 7992","http://www.thedomemilano.com","3.7","1861"
"La Cupola","ristoranti","Milano","","+39 02 8821 1236","https://www.hyatt.com/en-US/hotel/italy/park-hyatt-milan/milph/dining","4.5","200"
"Terrazza Calabritto Milano","ristoranti","Milano","milano@terrazzacalabritto.it","+39 02 6379 3923","http://milano.terrazzacalabritto.it","4.5","460"
"Da Regina 1985","ristoranti","Milano","","+39 02 3658 4500","https://m.facebook.com/daregina1985","3.9","2831"
"Vik Pellico Otto Restaurant","ristoranti","Milano","restaurant@galleriavikmilano.com","+39 340 606 8187","https://www.vikpellicootto.com","4.5","278"
"Ristorante Don Carlos","ristoranti","Milano","doncarlos@grandhoteletdemilan.it","+39 02 7231 4640","http://www.ristorantedoncarlos.it","4.4","192"
"Il panino del laghetto","ristoranti","Milano","","+39 339 383 8785","https://www.facebook.com/ilpaninodellaghetto","4.8","690"
"FX Milano Ristorante italiano","ristoranti","Milano","","+39 02 4341 6607","https://www.fx-ristorante.it","4.2","356"
"Da Giulia","ristoranti","Milano","","+39 02 3651 2177","http://www.ristorantedagiulia.it","4.3","795"
"Andry","ristoranti","Milano","andryrestaurant@gmail.com","+39 02 8646 2709","http://www.ristoranteandry.com","4.4","933"
"Sant Ambroeus Milano","ristoranti","Milano","","+39 02 7600 0540","https://www.santambroeus.com/pages/location-milano","4.3","1477"
"Risoelatte Duomo","ristoranti","Milano","info@risoelatte.it","+39 02 3983 1040","https://risoelatte.com","4.4","3061"
"Il Carpaccio Milano","ristoranti","Milano","","+39 02 0995 2990","","4.3","601"
"Il Paiolo dal 1973-Milano","ristoranti","Milano","","+39 02 6698 1816","http://ilpaiolo.plateform.app","4.5","819"
"ZELO","ristoranti","Milano","","+39 02 7708 1478","https://www.fourseasons.com/milan/dining/restaurants/zelo/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-mil-fab-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna","4.3","134"
"Osteria Fara","ristoranti","Milano","","+39 02 6707 6789","https://www.osteriafara.it/OsteriaFaraTop10.html","4.3","1829"
"miscusi | pasta fresca - Milano Colonne","ristoranti","Milano","","+39 02 5003 0990","https://miscusi.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgooglemaps%26utm_campaign%3Dlinkgmb%26utm_content%3DI003","4.4","4946"
"Ristorante Cacio e Pepe - Cucina Romana","ristoranti","Milano","","+39 346 067 8848","https://www.ristorantecacioepepe.com","4.4","1923"
"Ristorante Papà Francesco dal 1946","ristoranti","Milano","","+39 02 862177","http://www.papafrancesco.com","3.9","3194"
"Osteria del Corso - Milano","ristoranti","Milano","","+39 02 659 7441","http://www.osteriadelcorso.com","4.4","719"
"Pizzium - Via Arco","ristoranti","Milano","","+39 02 8295 5666","https://pizzium.com/locali/milano-via-arco-1","4.4","2064"
"Osteria delle Corti","ristoranti","Milano","info@osteriadellecorti.it","+39 02 3310 5753","https://www.osteriadellecorti.it","4.2","1488"
"Andrea Aprea | Ristorante","ristoranti","Milano","info@andreaaprea.com","+39 02 3827 3030","https://www.andreaaprea.com/il-ristorante","4.5","154"
"La Rosa dei Venti","ristoranti","Milano","","+39 02 347338","","4.6","643"
"O Surdato 'Nnamurato","ristoranti","Milano","","+39 02 8905 8040","","4.5","1120"
"Salsamenteria di Parma","ristoranti","Milano","","+39 02 7209 4367","https://www.salsamenteriadiparma.com/ristoranti/milano-brera/%3Futm_source%3DGBP%2B%26utm_medium%3Dinfo%2Bbrera%26utm_campaign%3Dsite","4.3","3105"
